Nome,CPF,Endereço,Telefone,Email,Endereço coleta,Endereço entrega,Peso (kg),Volume (m³),Prioridade
Laura Silveira,48794606055,"Trevo de Nogueira, 4
Sport Club
19373-670 Leão da Mata / RJ",0800 277 6346,manuella28@example.org,"Trevo de Nogueira, 4
Sport Club
19373-670 Leão da Mata / RJ","Avenida Azevedo, 4
Bandeirantes
21149-423 Fernandes / SE",5000,3,sim
Sr. Guilherme Rezende,33664035513,"Morro Araújo, 11
Dom Joaquim
28126-638 Machado / AC",(081) 6380 1191,da-luzlorenzo@example.net,"Morro Araújo, 11
Dom Joaquim
28126-638 Machado / AC","Setor de Oliveira, 7
Califórnia
40731006 Pereira do Sul / RN",6000,2,sim
Sr. Noah Cavalcante,55773086748,"Estação de Machado, 8
Vila Paris
49067-090 Costa de Goiás / RN",+55 11 2518 9489,bgomes@example.net,"Estação de Machado, 8
Vila Paris
49067-090 Costa de Goiás / RN","Praia de Fernandes, 911
Serra Do Curral
38598-461 Farias / RN",4000,1,não
Olívia Lopes,90469692741,"Residencial Marques, 56
Camargos
46814-713 Montenegro da Praia / TO",(051) 5018-8920,davi-luizaraujo@example.net,"Residencial Marques, 56
Camargos
46814-713 Montenegro da Praia / TO","Vale Teixeira, 10
Monte São José
53120240 Peixoto de Sousa / AP",9000,3,não
Lucca Correia,04646913201,"Ladeira Vieira, 660
Beija Flor
21181127 Siqueira / PB",+55 61 6635 4346,teixeiraisabela@example.com,"Ladeira Vieira, 660
Beija Flor
21181127 Siqueira / PB","Feira de Sá, 714
Nova Vista
99651-459 Alves / PR",9000,3,sim
Sr. Dante Montenegro,99110768300,"Lagoa Emanuella Machado, 52
Coração De Jesus
46375536 Sá da Mata / RO",+55 21 6529-8898,arthur-gabrielramos@example.com,"Lagoa Emanuella Machado, 52
Coração De Jesus
46375536 Sá da Mata / RO","Morro Dom Farias, 80
Conjunto Jardim Filadélfia
15260900 Moreira de Nascimento / AM",3000,2,não
Benjamin Araújo,04806605815,"Setor Ian Farias, 66
Aguas Claras
05786-991 da Luz / SP",+55 (041) 1466 4360,fernandoborges@example.org,"Setor Ian Farias, 66
Aguas Claras
05786-991 da Luz / SP","Vila Costela, 25
Paquetá
70489113 Jesus / PE",1000,3,sim
Maria Luísa Costa,46280944979,"Rodovia Catarina Câmara, 18
Sport Club
69312115 Fonseca / RN",0900 499 4920,ravy71@example.net,"Rodovia Catarina Câmara, 18
Sport Club
69312115 Fonseca / RN","Lagoa Mendonça, 59
Candelaria
47813-342 Macedo Grande / GO",7000,4,não
Eloah Aragão,13831308251,"Viaduto Rocha, 44
Ribeiro De Abreu
24700572 Araújo do Oeste / MT",(021) 1369 5005,nicolasguerra@example.com,"Viaduto Rocha, 44
Ribeiro De Abreu
24700572 Araújo do Oeste / MT","Conjunto Sampaio
João Alfredo
18529-109 Machado / RR",9000,4,sim
Stella Brito,55144357416,"Largo de Barbosa, 93
Vila Santo Antônio
38578-555 Jesus de Aragão / AP",+55 71 2419 3780,nicolas11@example.net,"Largo de Barbosa, 93
Vila Santo Antônio
38578-555 Jesus de Aragão / AP","Rua de Lima, 82
Novo Santa Cecilia
85073-724 Ferreira / DF",10000,5,sim
Davi Lucca Fernandes,44609486994,"Colônia Olívia Dias, 233
São Lucas
80765743 Fernandes de Goiás / PI",61 0094 3434,acardoso@example.com,"Colônia Olívia Dias, 233
São Lucas
80765743 Fernandes de Goiás / PI","Alameda de Sousa, 9
Paquetá
01894762 Santos Verde / RN",4000,3,não
Bianca da Cunha,57446284870,"Campo Macedo, 586
Morro Dos Macacos
87697081 Silveira / SE",(031) 0699 6302,nascimentosabrina@example.com,"Campo Macedo, 586
Morro Dos Macacos
87697081 Silveira / SE","Praça Arthur Gabriel Moraes, 95
Vista Do Sol
18148-151 Nogueira Alegre / RO",2000,4,não
Bento Aparecida,30286037309,"Rodovia de Melo, 7
Jonas Veiga
64068261 Novaes / MS",+55 (071) 4659 7368,eborges@example.org,"Rodovia de Melo, 7
Jonas Veiga
64068261 Novaes / MS","Alameda Ramos, 7
Nova Gameleira
42015-160 Cassiano / PI",5000,1,não
Laura Moreira,16570886423,"Praça Stephany Andrade, 4
Vila Atila De Paiva
69205-076 Guerra / RR",(021) 5205 2149,rferreira@example.com,"Praça Stephany Andrade, 4
Vila Atila De Paiva
69205-076 Guerra / RR","Loteamento Andrade, 32
Silveira
87512649 Ramos / CE",1000,1,não
Paulo Jesus,56790678037,"Pátio Natália Cassiano, 678
Barro Preto
64961-143 Ramos da Prata / AP",+55 41 6315 6460,mguerra@example.net,"Pátio Natália Cassiano, 678
Barro Preto
64961-143 Ramos da Prata / AP","Passarela Raul Cardoso, 287
Capitão Eduardo
77717092 Andrade dos Dourados / AM",3000,2,sim
Emanuella Mendonça,76043238550,"Feira de Novaes, 70
Mangabeiras
17937-806 Cassiano / RS",+55 11 4584-3483,fernandaduarte@example.net,"Feira de Novaes, 70
Mangabeiras
17937-806 Cassiano / RS","Praia da Rocha, 42
Santa Rita
22929634 Novais / AP",1000,5,não
Maria Helena Pacheco,25742067460,"Jardim de Casa Grande, 36
Saudade
23726-203 Novaes / RJ",11 7235-0270,fjesus@example.com,"Jardim de Casa Grande, 36
Saudade
23726-203 Novaes / RJ","Lago Maria Luiza das Neves, 26
Vila Novo São Lucas
55757862 Mendes Verde / GO",6000,5,não
Guilherme da Luz,30305977090,"Condomínio Castro, 4
Venda Nova
64473025 Viana do Sul / RJ",0800 797 3748,fmarques@example.org,"Condomínio Castro, 4
Venda Nova
64473025 Viana do Sul / RJ","Conjunto Matheus Correia, 68
São Francisco Das Chagas
33110-437 Sales das Flores / ES",8000,5,não
Rafael Borges,55274725946,"Viaduto Marcela Pires, 6
Penha
08943-259 Pires / PE",(041) 0459-6984,fariasmaria-vitoria@example.org,"Viaduto Marcela Pires, 6
Penha
08943-259 Pires / PE","Setor de Teixeira, 83
Jaqueline
88030975 Castro / CE",10000,2,não
Yuri Aragão,47574447962,"Chácara de Fonseca, 60
Cenaculo
28931-538 Gonçalves / RN",+55 71 5439-1348,casa-granderebeca@example.org,"Chácara de Fonseca, 60
Cenaculo
28931-538 Gonçalves / RN","Trevo Luna Duarte
João Pinheiro
62760-523 Vasconcelos do Oeste / RS",1000,4,não
Luiz Fernando Teixeira,71321538209,"Feira de Nunes
Vila Tirol
03613256 da Paz / PB",+55 (084) 7207-9783,arthur-miguelsampaio@example.org,"Feira de Nunes
Vila Tirol
03613256 da Paz / PB","Campo da Rosa, 57
Santo Antônio
42154-377 Rodrigues / GO",8000,2,não
Caroline Castro,76713256946,"Vila Mathias da Luz, 3
Vila Madre Gertrudes 1ª Seção
31769911 Sampaio / PB",+55 51 6746 1857,asafemontenegro@example.net,"Vila Mathias da Luz, 3
Vila Madre Gertrudes 1ª Seção
31769911 Sampaio / PB","Rodovia da Luz, 937
Parque São Pedro
77301-245 Teixeira de Goiás / AC",4000,3,sim
Dante Farias,35585809402,"Área Fogaça
Vila Fumec
30415184 Lopes / AP",0500 485 9281,luiz-gustavo97@example.net,"Área Fogaça
Vila Fumec
30415184 Lopes / AP","Fazenda de Fernandes, 50
Belmonte
72118513 Ferreira do Oeste / SC",8000,2,sim
Benjamin Albuquerque,27048768009,"Fazenda Mateus Moreira, 94
Aarão Reis
81635-774 Castro / BA",+55 21 1446-4037,gcastro@example.com,"Fazenda Mateus Moreira, 94
Aarão Reis
81635-774 Castro / BA","Feira de Nogueira
Vila Nova Gameleira 1ª Seção
04362-729 Ramos de Minas / SE",1000,5,sim
Augusto da Cruz,91155418785,"Travessa de Moraes, 5
Novo Das Industrias
11999722 Rios / AM",(061) 9281-8109,djesus@example.net,"Travessa de Moraes, 5
Novo Das Industrias
11999722 Rios / AM","Esplanada Giovanna Sales, 7
Grotinha
92804176 Brito / PA",9000,2,sim
Srta. Luísa das Neves,29265960735,"Travessa de da Cruz, 12
Universitário
92049920 Nascimento / DF",84 6206 2682,guerraluana@example.net,"Travessa de da Cruz, 12
Universitário
92049920 Nascimento / DF","Esplanada Costela, 60
Frei Leopoldo
55742-865 Carvalho do Sul / BA",6000,4,não
Dr. Luiz Miguel Freitas,25269003016,"Ladeira Maya Albuquerque, 394
Jardim Leblon
68087-615 Monteiro / ES",+55 (021) 8083 8252,fogacaleonardo@example.com,"Ladeira Maya Albuquerque, 394
Jardim Leblon
68087-615 Monteiro / ES","Núcleo Ana Júlia Siqueira, 2
Piraja
81156669 da Cunha Grande / AM",1000,1,sim
Mariah da Mota,49495020268,"Viela Mateus Garcia, 98
Nossa Senhora Aparecida
94816-007 Cavalcanti das Flores / MT",31 6219-5210,jsouza@example.com,"Viela Mateus Garcia, 98
Nossa Senhora Aparecida
94816-007 Cavalcanti das Flores / MT","Sítio Vasconcelos, 43
Andiroba
89644583 Fonseca / PR",8000,5,não
Giovanna Macedo,23662197923,"Fazenda de Sousa, 13
Novo Das Industrias
83818-221 Silva de Gomes / MT",11 0633-5318,liz69@example.com,"Fazenda de Sousa, 13
Novo Das Industrias
83818-221 Silva de Gomes / MT","Área Siqueira
Santa Monica
36101945 Viana / SC",3000,2,não
Mariah Cirino,45829573234,"Via Alves, 733
Centro
50221-328 Cavalcanti / MA",+55 (021) 5279 9870,elopes@example.org,"Via Alves, 733
Centro
50221-328 Cavalcanti / MA","Área Cassiano, 485
Santa Sofia
17123-547 Abreu / PA",4000,1,sim
Caio Nogueira,91650685725,"Estação Aurora Souza, 38
Vila Mangueiras
16874-650 Barros da Serra / AL",0300 981 8259,davi-miguelfernandes@example.org,"Estação Aurora Souza, 38
Vila Mangueiras
16874-650 Barros da Serra / AL","Jardim Lucas Oliveira
Vila São Paulo
53329768 Ramos da Prata / MG",5000,5,sim
Levi Rodrigues,17715409404,"Condomínio da Cunha
Cardoso
39536156 Almeida / RR",+55 31 6114 5444,yuricastro@example.net,"Condomínio da Cunha
Cardoso
39536156 Almeida / RR","Área de Martins, 17
Vila Piratininga Venda Nova
28887-587 Abreu / PA",10000,3,não
Srta. Luiza Farias,28902133588,"Distrito de Rodrigues
Novo Glória
70939601 Martins / MS",+55 31 6442-7020,ncassiano@example.org,"Distrito de Rodrigues
Novo Glória
70939601 Martins / MS","Fazenda Joana Vasconcelos, 4
Granja Werneck
62647079 Azevedo / AM",7000,5,não
Dr. Leonardo da Rocha,20758332658,"Estação Gonçalves, 98
Vila Betânia
13981241 Pastor / RJ",61 4514 1882,da-matamaria-alice@example.org,"Estação Gonçalves, 98
Vila Betânia
13981241 Pastor / RJ","Favela de Albuquerque
Cônego Pinheiro 2ª Seção
19321135 Cavalcante / SC",9000,3,sim
Antonella Vieira,81166336270,"Campo de Porto, 26
Vila Suzana Segunda Seção
18926889 Porto / PB",+55 (031) 1846-3175,kgarcia@example.org,"Campo de Porto, 26
Vila Suzana Segunda Seção
18926889 Porto / PB","Quadra de das Neves, 71
São Jorge 3ª Seção
57337126 Alves da Prata / DF",2000,2,sim
Dr. Carlos Eduardo Nunes,01589104948,"Sítio Fernanda Borges, 4
Vila São Gabriel
81425801 Pastor de Minas / PI",71 7313-1585,enricosiqueira@example.org,"Sítio Fernanda Borges, 4
Vila São Gabriel
81425801 Pastor de Minas / PI","Área Carvalho, 61
Chácara Leonina
13723-235 Duarte / AP",5000,3,não
Bruna Cardoso,07772987754,"Ladeira de Monteiro
São Salvador
75212689 Fonseca / SP",+55 (021) 2711 4591,caleb31@example.org,"Ladeira de Monteiro
São Salvador
75212689 Fonseca / SP","Viela de Carvalho, 18
São Francisco
00807-915 Nogueira / RO",7000,4,sim
Isabela Rodrigues,48505957313,"Aeroporto Theo das Neves, 134
Jardim Montanhês
09546-842 Nunes / PB",+55 41 0779-0377,ana-livia68@example.net,"Aeroporto Theo das Neves, 134
Jardim Montanhês
09546-842 Nunes / PB","Loteamento de Nunes, 27
Carlos Prates
28353034 Guerra / DF",1000,2,sim
Maria Laura Peixoto,95546968680,"Setor Mirella Aparecida, 48
Campo Alegre
58762617 Oliveira do Norte / PE",41 5628 5766,gnascimento@example.net,"Setor Mirella Aparecida, 48
Campo Alegre
58762617 Oliveira do Norte / PE","Sítio José Pedro da Luz
Bom Jesus
09923-560 Montenegro / AC",3000,3,sim
Lucas Gabriel Marques,59053275058,"Passarela Pastor, 74
Concórdia
77224891 Sales / SP",+55 51 4856 9763,isaacnogueira@example.net,"Passarela Pastor, 74
Concórdia
77224891 Sales / SP","Praia Nathan Fogaça, 15
Vila Piratininga
76211-791 Sá de Fonseca / RR",5000,2,não
Leonardo Marques,13938555476,"Vale Manuela Leão, 29
Mangabeiras
63520594 Porto de da Rosa / GO",+55 31 6733-6931,freitasliz@example.com,"Vale Manuela Leão, 29
Mangabeiras
63520594 Porto de da Rosa / GO","Recanto da Cunha, 579
Jardim São José
27027-698 da Costa Alegre / CE",5000,2,não
Vitor Gabriel Vasconcelos,03155044202,"Jardim Maria Júlia das Neves, 7
Bela Vitoria
89648-122 Machado / PA",(071) 7512 5022,murilomelo@example.net,"Jardim Maria Júlia das Neves, 7
Bela Vitoria
89648-122 Machado / PA","Loteamento de Aragão, 2
Vista Alegre
41545781 Marques de Goiás / AM",2000,3,sim
Francisco Souza,23328719001,"Parque Lorena Costa, 16
Ribeiro De Abreu
29233-942 Azevedo / AL",+55 (041) 6663-3083,ana-clarabarros@example.com,"Parque Lorena Costa, 16
Ribeiro De Abreu
29233-942 Azevedo / AL","Aeroporto Luna Carvalho, 25
Vila Da Ária
20264-447 Guerra / PI",1000,5,sim
Bianca Duarte,59549387094,"Lago Monteiro
Bandeirantes
80958182 Moraes de Novais / AC",+55 (051) 6642 8133,kcastro@example.org,"Lago Monteiro
Bandeirantes
80958182 Moraes de Novais / AC","Praça de Sá, 23
Urca
13427-601 Sales da Prata / MG",3000,3,não
Yasmin da Luz,44044104920,"Feira Cirino, 11
Andiroba
39746-411 Moura / MG",+55 31 2885 9984,oalbuquerque@example.com,"Feira Cirino, 11
Andiroba
39746-411 Moura / MG","Loteamento de da Cruz, 16
Nova Granada
82532-989 da Cruz do Galho / AL",5000,3,não
Felipe Viana,42360528658,"Fazenda Viana, 250
Teixeira Dias
17308265 Vasconcelos Verde / PE",(081) 1071 8106,caua46@example.com,"Fazenda Viana, 250
Teixeira Dias
17308265 Vasconcelos Verde / PE","Praia de Marques
Jardim Montanhês
14242401 Fernandes do Galho / AP",5000,5,sim
Apollo Porto,29394333642,"Rodovia de Silveira, 53
Vila Formosa
31630-060 Martins da Serra / TO",+55 (041) 0175 5141,luana07@example.net,"Rodovia de Silveira, 53
Vila Formosa
31630-060 Martins da Serra / TO","Morro de Marques, 71
Vila Pinho
32947437 Pereira da Prata / RS",8000,4,não
Vitória Garcia,00744640192,"Distrito de Vasconcelos, 82
Monte Azul
36571-364 Cunha / AP",41 9579-3326,lais59@example.org,"Distrito de Vasconcelos, 82
Monte Azul
36571-364 Cunha / AP","Viela Aparecida, 17
Conjunto Minas Caixa
98995-615 Fonseca Verde / RJ",6000,3,sim
Ana Carolina Lopes,60666657580,"Largo de Fonseca, 89
Rio Branco
44280443 Pereira / GO",(071) 6943-4598,leonardo20@example.org,"Largo de Fonseca, 89
Rio Branco
44280443 Pereira / GO","Ladeira Camargo, 69
Unidas
10422391 Sousa de Costela / RO",1000,5,não
Pedro Henrique Santos,34177451368,"Aeroporto Moreira, 49
Flamengo
26648-571 Moraes / RS",84 1040-2364,camarajoao-lucas@example.com,"Aeroporto Moreira, 49
Flamengo
26648-571 Moraes / RS","Passarela da Cunha, 13
Vila Sesc
23472-645 Pacheco / PI",9000,3,não
Ana Beatriz Andrade,42476715372,"Viela de Abreu
Lagoinha Leblon
16801311 Costa / SC",0800 316 8004,garciacaua@example.com,"Viela de Abreu
Lagoinha Leblon
16801311 Costa / SC","Distrito Bianca da Cunha, 838
Jardim Montanhês
18254-912 Cavalcante do Galho / PE",5000,3,sim
Srta. Lara Pimenta,23688407700,"Ladeira Porto, 527
Antonio Ribeiro De Abreu 1ª Seção
43776-762 Barros / RR",11 8064-8496,oliveirabreno@example.org,"Ladeira Porto, 527
Antonio Ribeiro De Abreu 1ª Seção
43776-762 Barros / RR","Vila de Santos
Tres Marias
49294162 Azevedo / DF",6000,2,não
Vitor Ferreira,90738314900,"Vereda das Neves, 45
Gutierrez
89189-799 Pinto / PR",21 3036 4858,pedro-lucas45@example.org,"Vereda das Neves, 45
Gutierrez
89189-799 Pinto / PR","Viaduto de da Cruz, 63
Xangri-Lá
56743-569 Ramos / MA",4000,5,não
Sra. Laura Borges,64847273501,"Chácara Correia, 208
Milionario
36991178 Farias do Norte / RO",+55 (041) 1837-8190,luiz-henriqueabreu@example.com,"Chácara Correia, 208
Milionario
36991178 Farias do Norte / RO","Colônia Peixoto, 84
Frei Leopoldo
14213-776 da Rocha / DF",7000,2,não
Mariah Moreira,45568622644,"Travessa Correia, 7
Comiteco
15926-722 Borges Verde / AP",+55 84 2350-5215,heloisada-conceicao@example.net,"Travessa Correia, 7
Comiteco
15926-722 Borges Verde / AP","Vereda José Pedro Cassiano, 33
Estrela Do Oriente
99452-341 Barros da Prata / GO",6000,4,sim
Sr. Ravy Gonçalves,42099453159,"Estação de da Rosa, 5
Lorena
19975843 Ramos das Flores / AM",11 7089 7331,npacheco@example.net,"Estação de da Rosa, 5
Lorena
19975843 Ramos das Flores / AM","Recanto Renan Albuquerque, 85
Santa Helena
33509-092 Santos / SC",9000,4,sim
Dra. Maria Cecília Silva,97290311425,"Viela Ísis Rodrigues, 42
Minaslandia
68954736 Marques do Oeste / DF",+55 (021) 1108 9788,agatha05@example.net,"Viela Ísis Rodrigues, 42
Minaslandia
68954736 Marques do Oeste / DF","Estação da Rocha
Vila Dos Anjos
93865855 Garcia / RJ",9000,2,sim
Rafaela Barros,41252125975,"Lago Augusto Pastor, 686
Vila Suzana Segunda Seção
41004-096 Camargo / BA",84 1955 6119,pereirapietra@example.com,"Lago Augusto Pastor, 686
Vila Suzana Segunda Seção
41004-096 Camargo / BA","Estação Casa Grande, 12
Jatobá
51478817 Duarte / AL",9000,3,não
Ana Liz Souza,89241830876,"Distrito Aparecida
Vila Madre Gertrudes 2ª Seção
01887018 Alves / SC",+55 31 1051 7526,davi-miguel62@example.net,"Distrito Aparecida
Vila Madre Gertrudes 2ª Seção
01887018 Alves / SC","Núcleo de Vasconcelos, 78
Vila Bandeirantes
66431286 Pinto / RN",5000,2,não
Mateus Pereira,66743106033,"Jardim de Moreira, 89
Jardim São José
07861659 Pires Grande / PB",+55 61 1397 7910,olivia85@example.org,"Jardim de Moreira, 89
Jardim São José
07861659 Pires Grande / PB","Quadra de Cardoso, 904
Vila São Francisco
27455-352 Câmara do Amparo / CE",7000,1,não
Srta. Lunna da Conceição,48329014514,"Fazenda de Siqueira
Mantiqueira
59244497 Rios do Amparo / MG",+55 (021) 4666-6321,rochapedro-miguel@example.org,"Fazenda de Siqueira
Mantiqueira
59244497 Rios do Amparo / MG","Via Garcia, 29
Vila Calafate
86558084 Ribeiro do Campo / AM",9000,5,sim
Antonella Silveira,18607068003,"Lago Casa Grande, 68
Cônego Pinheiro 2ª Seção
10351-522 Macedo dos Dourados / BA",(011) 7891 2849,claricevasconcelos@example.net,"Lago Casa Grande, 68
Cônego Pinheiro 2ª Seção
10351-522 Macedo dos Dourados / BA","Trevo de Cirino, 90
Alto Das Antenas
74039640 Siqueira Verde / BA",2000,4,sim
Dr. Léo Araújo,78070435808,"Vila Moreira, 84
Vila Mantiqueira
05107-822 Duarte da Mata / PR",+55 (084) 1019-7510,anada-rocha@example.com,"Vila Moreira, 84
Vila Mantiqueira
05107-822 Duarte da Mata / PR","Rua Freitas, 18
Túnel De Ibirité
26980005 Cassiano / SP",5000,2,não
Heitor da Costa,14349462909,"Morro Cavalcanti, 57
Maria Helena
06556-296 Brito de Albuquerque / RO",0800 973 5702,machadotheodoro@example.com,"Morro Cavalcanti, 57
Maria Helena
06556-296 Brito de Albuquerque / RO","Aeroporto de Pires, 54
Vila Esplanada
13730371 Aparecida do Sul / MA",5000,4,sim
Dra. Rafaela Cavalcante,94289934766,"Favela Aylla Lopes, 39
Cinquentenário
94272345 Cardoso das Flores / PE",51 5012 3982,vitor-gabriel65@example.org,"Favela Aylla Lopes, 39
Cinquentenário
94272345 Cardoso das Flores / PE","Travessa de Almeida, 18
Alta Tensão 1ª Seção
49482130 Nascimento / MG",3000,4,sim
Sara Caldeira,68115834798,"Recanto Maria Luiza Teixeira, 4
Barro Preto
69091-901 Correia / RS",+55 81 4259-3137,maria-sophiada-cunha@example.net,"Recanto Maria Luiza Teixeira, 4
Barro Preto
69091-901 Correia / RS","Praia Cecilia Marques
Xodo-Marize
19768-416 Cassiano do Sul / MG",7000,1,não
Davi Lucas Câmara,59500363793,"Rodovia Luiza Cunha, 863
Santa Cruz
37795-497 Moraes / MT",(021) 7952 2224,vfernandes@example.net,"Rodovia Luiza Cunha, 863
Santa Cruz
37795-497 Moraes / MT","Largo Fogaça, 219
Cruzeiro
95151640 da Mota de Rezende / RJ",1000,3,sim
Caio Jesus,81328517147,"Morro de Câmara, 2
Virgínia
17180-917 Brito / PA",+55 31 3544 9318,emanuelly62@example.net,"Morro de Câmara, 2
Virgínia
17180-917 Brito / PA","Vereda Lorena Montenegro, 5
Conjunto Floramar
52255508 Jesus de Minas / PI",4000,1,não
Dr. Asafe Farias,18323340079,"Parque de Teixeira, 45
Anchieta
61618457 Albuquerque / GO",+55 41 4373 1918,bdas-neves@example.net,"Parque de Teixeira, 45
Anchieta
61618457 Albuquerque / GO","Trevo de Porto
Xodo-Marize
77849-154 Nogueira / PE",5000,5,sim
Dr. Lorenzo Moura,25884583783,"Esplanada Bianca Aragão, 50
Vila Santo Antônio Barroquinha
56366-773 Costa / MG",84 9187 6354,iguerra@example.org,"Esplanada Bianca Aragão, 50
Vila Santo Antônio Barroquinha
56366-773 Costa / MG","Feira de Campos
Graça
37948-639 Brito / CE",8000,2,sim
Ana Carolina Vieira,13049286751,"Pátio Rafael da Mota, 38
Piraja
71890828 Ramos dos Dourados / MS",+55 84 4629 0635,sousalorena@example.org,"Pátio Rafael da Mota, 38
Piraja
71890828 Ramos dos Dourados / MS","Área Moura, 718
Coração De Jesus
01597813 Pimenta da Prata / RO",8000,3,não
Emanuelly da Paz,78828083694,"Passarela de Pimenta, 42
Vila Piratininga
45308887 das Neves / MS",(021) 6399 1634,kcosta@example.org,"Passarela de Pimenta, 42
Vila Piratininga
45308887 das Neves / MS","Trevo Andrade, 92
Alto Dos Pinheiros
91010-703 Mendonça / RO",4000,1,sim
Eduardo Cirino,74318975290,"Estação de Lopes
Conjunto Floramar
32765-196 Viana / DF",21 2055-3701,marquesyasmin@example.org,"Estação de Lopes
Conjunto Floramar
32765-196 Viana / DF","Via de Cassiano, 2
Vila São Rafael
42741-893 Martins da Prata / AC",10000,4,não
Dra. Anna Liz Duarte,24290053361,"Conjunto da Rosa, 89
Vila Independencia 2ª Seção
95855-387 Sampaio / MA",(051) 3831 3622,ana-luiza18@example.net,"Conjunto da Rosa, 89
Vila Independencia 2ª Seção
95855-387 Sampaio / MA","Distrito Olivia Silveira, 38
Serra
90496655 Rodrigues Alegre / AL",1000,3,sim
Sara Novais,63388841108,"Via Raul Costela, 42
Teixeira Dias
02748463 da Mota do Norte / GO",+55 84 6930-7151,aduarte@example.net,"Via Raul Costela, 42
Teixeira Dias
02748463 da Mota do Norte / GO","Avenida de Dias, 39
Vila Santa Monica 2ª Seção
18299939 da Luz / SE",5000,4,não
Sr. Vitor Ramos,21351330780,"Alameda de Alves, 7
Xangri-Lá
26884-128 Costela de Campos / RJ",(011) 1016-9488,fariasmariana@example.net,"Alameda de Alves, 7
Xangri-Lá
26884-128 Costela de Campos / RJ","Vila de Pereira, 8
Bom Jesus
21343133 da Rosa de Lima / MS",6000,5,sim
Heloísa Pastor,06253887129,"Praça de Barros, 573
Taquaril
42503426 Freitas / GO",11 6894-1455,brayanda-rosa@example.com,"Praça de Barros, 573
Taquaril
42503426 Freitas / GO","Aeroporto Correia, 51
Vila Ecológica
32873-014 Fogaça / BA",2000,1,sim
Sofia Souza,86190862196,"Campo da Paz, 37
Vila Cemig
05022-021 Gonçalves do Sul / PA",+55 (021) 9179-0878,scastro@example.com,"Campo da Paz, 37
Vila Cemig
05022-021 Gonçalves do Sul / PA","Distrito Maitê Farias, 569
Grota
92037-459 Vargas da Praia / RO",5000,1,não
José Miguel Peixoto,99678585595,"Praça Cardoso, 7
Confisco
07003-741 Rios / CE",0500-059-5570,larissacamargo@example.org,"Praça Cardoso, 7
Confisco
07003-741 Rios / CE","Distrito Guilherme Cardoso, 1
Conjunto Serra Verde
11418-156 Cardoso de Fogaça / PE",1000,4,não
Maya Viana,34099081707,"Lagoa Cauê Peixoto, 66
Bonsucesso
91238-941 Rios / AP",+55 41 7222-6573,camargoanthony-gabriel@example.com,"Lagoa Cauê Peixoto, 66
Bonsucesso
91238-941 Rios / AP","Núcleo de Azevedo, 9
Santa Maria
57739673 Andrade dos Dourados / AL",10000,4,sim
José Miguel Duarte,89229864171,"Rua Davi Lucas Rezende, 29
Anchieta
09350-321 Rios Paulista / SE",21 8923 3248,osampaio@example.org,"Rua Davi Lucas Rezende, 29
Anchieta
09350-321 Rios Paulista / SE","Colônia Thomas Camargo, 1
Santa Amelia
79961728 Lopes / AL",4000,4,não
Maya Castro,86617084354,"Lagoa de Mendes, 78
Taquaril
82310-341 Nunes / PE",+55 (061) 9100-7498,manuela20@example.com,"Lagoa de Mendes, 78
Taquaril
82310-341 Nunes / PE","Jardim Diego Correia, 54
Vila Independencia 3ª Seção
92135-337 Aragão / AC",8000,4,não
Léo Teixeira,37395835840,"Morro Carvalho, 66
Santo André
21990451 Ferreira / MG",+55 81 4363-2304,dcastro@example.net,"Morro Carvalho, 66
Santo André
21990451 Ferreira / MG","Jardim Rebeca Santos
Mala E Cuia
16267423 Pires / PA",8000,3,não
Bella Oliveira,01314512600,"Trevo da Cruz, 69
Mariquinhas
43165-841 Silva / RJ",+55 (071) 2730 0406,novaismariah@example.com,"Trevo da Cruz, 69
Mariquinhas
43165-841 Silva / RJ","Lagoa de Santos, 1
Grotinha
24618260 Abreu / PB",5000,5,não
Srta. Maria Helena Cardoso,61413572960,"Residencial Valentim Guerra, 96
Virgínia
35503577 Correia / CE",(081) 3821 9438,nicolas20@example.com,"Residencial Valentim Guerra, 96
Virgínia
35503577 Correia / CE","Fazenda de Almeida, 95
Bom Jesus
54448096 Silveira do Sul / SC",7000,4,não
Dr. Benjamin da Mota,15202227693,"Travessa Eduarda Lima, 36
Vila Ouro Minas
25514-588 Siqueira / SC",11 9408 1777,portohellena@example.org,"Travessa Eduarda Lima, 36
Vila Ouro Minas
25514-588 Siqueira / SC","Condomínio Araújo, 62
Alto Vera Cruz
04521-012 Araújo / AL",10000,4,sim
Maria Fernanda Alves,76795891513,"Viaduto de Rios, 83
Saudade
25446-044 Nogueira / AM",+55 (031) 3015-9305,camaraana-liz@example.com,"Viaduto de Rios, 83
Saudade
25446-044 Nogueira / AM","Quadra de Macedo, 130
Casa Branca
49520296 Fonseca do Oeste / AP",5000,4,não
Dr. José Miguel Santos,06530629233,"Vale da Cunha, 26
Conjunto Serra Verde
77546862 Aragão de Sá / BA",+55 (031) 7173-0276,andre55@example.com,"Vale da Cunha, 26
Conjunto Serra Verde
77546862 Aragão de Sá / BA","Via Siqueira
São Geraldo
80996952 Sá Grande / SP",3000,4,não
Isaac da Mota,54698765511,"Feira Ana Beatriz Montenegro, 64
Bacurau
64926-900 Monteiro de Porto / RS",+55 81 6600-4795,diegojesus@example.net,"Feira Ana Beatriz Montenegro, 64
Bacurau
64926-900 Monteiro de Porto / RS","Vereda Helena Sampaio, 36
Ouro Preto
00450953 Farias da Mata / AM",4000,2,sim
